# Licensed to the Apache Software Foundation (ASF) under one
# or more contributor license agreements.  See the NOTICE file
# distributed with this work for additional information
# regarding copyright ownership.  The ASF licenses this file
# to you under the Apache License, Version 2.0 (the
# "License"); you may not use this file except in compliance
# with the License.  You may obtain a copy of the License at
#
#   http://www.apache.org/licenses/LICENSE-2.0
#
# Unless required by applicable law or agreed to in writing,
# software distributed under the License is distributed on an
# "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY
# KIND, either express or implied.  See the License for the
# specific language governing permissions and limitations
# under the License.
sha	subject	decision	europa_sha	pr	validation
a289bb0e6c0dafbcb3e6dec60e5d3933f5b61a95	Update suse15 packaging spec, use qemu-ovmf-x86_64 package instead of edk2-ovmf for agent (#13133)	Excluded		https://github.com/ablecloud-team/ablestack-cloud/pull/1002	S2 current-source review at d415cef44ef5b0008bd81288cd0ef1d280e8a028; PR #1002; s2-review.tsv and S2 verification report. Scope-only exclusion reviewed against changed paths; no runtime behavior imported.
348ce953a99246a756b527994f7745a7be038234	Updating pom.xml version numbers for release 4.22.1.0	Excluded		https://github.com/ablecloud-team/ablestack-cloud/pull/1002	S2 current-source review at d415cef44ef5b0008bd81288cd0ef1d280e8a028; PR #1002; s2-review.tsv and S2 verification report. Scope-only exclusion reviewed against changed paths; no runtime behavior imported.
79bb8ef1cc3c89b144f9623d638c893258438848	Updating pom.xml version numbers for release 4.22.2.0-SNAPSHOT	Excluded		https://github.com/ablecloud-team/ablestack-cloud/pull/1002	S2 current-source review at d415cef44ef5b0008bd81288cd0ef1d280e8a028; PR #1002; s2-review.tsv and S2 verification report. Scope-only exclusion reviewed against changed paths; no runtime behavior imported.
4a49ffa9aa281b207ca5350ae697c6469be0c367	update debian change log	Excluded		https://github.com/ablecloud-team/ablestack-cloud/pull/1002	S2 current-source review at d415cef44ef5b0008bd81288cd0ef1d280e8a028; PR #1002; s2-review.tsv and S2 verification report. Scope-only exclusion reviewed against changed paths; no runtime behavior imported.
a7c2a059f5d7517db78310bab48dcb2a6acd0924	Update mysql java connector version to 8.4.0 (matching version for MySQL 8.4) (#12640)	Adapted	8aa74e786d1416f20377579ac32182e0acd915aa	https://github.com/ablecloud-team/ablestack-cloud/pull/1002	Reviewed/tested head 0725e2c585b35b45d9e9e8f180f051d2022a59a6; merged 17287b59fe3dffccd64003e366c17e274a9b0b28; s2-verification.ko.md and s2-review.tsv. Backend https://github.com/ablecloud-team/ablestack-cloud/actions/runs/34459707761 (12265 tests, failures0/errors0/skipped17); Rocky9.8 https://github.com/ablecloud-team/ablestack-cloud/actions/runs/34459707809; row-specific scope: Connector/J8.4.0 and classpath/auth follow-up adapted; invalid upstream shell assignment corrected. MySQL8.0.46 SELECT and isolated caching_sha2_password authentication passed. Baseline/candidate DB initialization reproduced identical 99 failed SQL statements and simulator FK failure; S4 owns repair.
21b2025c5055d4580e828f708d406510853f0060	Merge release branch 4.20 to 4.22	Already Satisfied	1159774943e6b8a9542260ed7a154121ef0cf480	https://github.com/ablecloud-team/ablestack-cloud/pull/1037	s6-merge-review.tsv; s6-verification.ko.md
67b849f3efd16f5c353501d176a42e45d87acb44	Merge release branch 4.22 to main	Already Satisfied	1159774943e6b8a9542260ed7a154121ef0cf480	https://github.com/ablecloud-team/ablestack-cloud/pull/1037	s6-merge-review.tsv; s6-verification.ko.md
a0aafe2fa73132f08d7ae67b302d2e1fa6d02068	Update bouncy castle (#12794)	Adapted	347d8d2b7cbc5bf16c11464b118ec97a5be13116	https://github.com/ablecloud-team/ablestack-cloud/pull/1002	Reviewed/tested head 0725e2c585b35b45d9e9e8f180f051d2022a59a6; merged 17287b59fe3dffccd64003e366c17e274a9b0b28; s2-verification.ko.md and s2-review.tsv. Backend https://github.com/ablecloud-team/ablestack-cloud/actions/runs/34459707761 (12265 tests, failures0/errors0/skipped17); Rocky9.8 https://github.com/ablecloud-team/ablestack-cloud/actions/runs/34459707809; row-specific scope: BC1.83/jdk18on and MinIO8.6.0 adapted across Europa-only consumers. Global OkHttp/interceptor5.1.0 and explicit okhttp-jvm prevent old runtime selection and clean-compilation failure. Full161-reactor clean install, affected108 tests, full suites and actual RPM classpath BC/MinIO/InfluxDB smoke passed; external provider integration remains with S3/S5B.
2ae1015073b4351ef855ec90e431676a26977776	Add jmsperu to the list of contributors	Excluded		https://github.com/ablecloud-team/ablestack-cloud/pull/1002	S2 current-source review at d415cef44ef5b0008bd81288cd0ef1d280e8a028; PR #1002; s2-review.tsv and S2 verification report. Scope-only exclusion reviewed against changed paths; no runtime behavior imported.
583a1e0dfb04501b2d81413016cfee8d1300f6a2	Refactor github actions (#12774)	Adapted	274a653f8ee24876bd40fe3a63cdaac3fae2f100	https://github.com/ablecloud-team/ablestack-cloud/pull/1002	Reviewed/tested head 0725e2c585b35b45d9e9e8f180f051d2022a59a6; merged 17287b59fe3dffccd64003e366c17e274a9b0b28; s2-verification.ko.md and s2-review.tsv. Backend https://github.com/ablecloud-team/ablestack-cloud/actions/runs/34459707761 (12265 tests, failures0/errors0/skipped17); Rocky9.8 https://github.com/ablecloud-team/ablestack-cloud/actions/runs/34459707809; row-specific scope: Shared setup-env/install-nonoss and core build/RAT/UI/pre-commit refactoring adapted to JDK17/Maven3.9.10/product Python3.10/Node14. Europa workflow_call contracts and legacy inactive coverage workflows are retained. Existing ci.yml receives pins and connector authentication follow-up, while its larger Apache refactor and Apache-only Sonar/CodeQL/automation changes are omitted.
7f849e9362f3f8ef521bd1e97d4786d773f8f4f5	add GaOrtiga to colaborators (#13246)	Excluded		https://github.com/ablecloud-team/ablestack-cloud/pull/1002	S2 current-source review at d415cef44ef5b0008bd81288cd0ef1d280e8a028; PR #1002; s2-review.tsv and S2 verification report. Scope-only exclusion reviewed against changed paths; no runtime behavior imported.
e3245515e8bb758f3c1278f15077231271a141e2	docs: note MariaDB support in README (#13238)	Excluded		https://github.com/ablecloud-team/ablestack-cloud/pull/1002	S2 current-source review at d415cef44ef5b0008bd81288cd0ef1d280e8a028; PR #1002; s2-review.tsv and S2 verification report. Scope-only exclusion reviewed against changed paths; no runtime behavior imported.
c0ce5b461f816bd6a6c1ceee8c1ee3104b3dbde7	Bump the github-actions-dependencies group across 1 directory with 2 updates (#13215)	Excluded		https://github.com/ablecloud-team/ablestack-cloud/pull/1002	S2 current-source review at d415cef44ef5b0008bd81288cd0ef1d280e8a028; PR #1002; s2-review.tsv and S2 verification report. Scope-only exclusion reviewed against changed paths; no runtime behavior imported.
7308dad19a9a70d33a33a75bea8c51629541e438	Update github aw actions (#13278)	Excluded		https://github.com/ablecloud-team/ablestack-cloud/pull/1002	S2 current-source review at d415cef44ef5b0008bd81288cd0ef1d280e8a028; PR #1002; s2-review.tsv and S2 verification report. Scope-only exclusion reviewed against changed paths; no runtime behavior imported.
6bc83a3c46f4b51ddf24483ee1fe3ccf65d2791a	.github: Upgrade codecov/codecov-action to version 7.0.0 (#13370)	Adapted	274a653f8ee24876bd40fe3a63cdaac3fae2f100	https://github.com/ablecloud-team/ablestack-cloud/pull/1002	Reviewed/tested head 0725e2c585b35b45d9e9e8f180f051d2022a59a6; merged 17287b59fe3dffccd64003e366c17e274a9b0b28; s2-verification.ko.md and s2-review.tsv. Backend https://github.com/ablecloud-team/ablestack-cloud/actions/runs/34459707761 (12265 tests, failures0/errors0/skipped17); Rocky9.8 https://github.com/ablecloud-team/ablestack-cloud/actions/runs/34459707809; row-specific scope: UI and existing simulator ci.yml codecov actions updated to fb8b3582c8e4def4969c97caa2f19720cb33a72f (v7.0.0). Existing apache/cloudstack repository conditions keep both uploads inactive here: validation is source review/actionlint, not coverage-upload PASS. Apache main-sonar/sonar paths are not imported; legacy inactive codecov.yml is retained atv4 for compatibility.
a7f9756d6267869b96a9209af58c0335835a773d	Remove realhostip references from the code (#12856)	Adapted	fa426a86b30a05a20a831a90ccefffc781c064fe	https://github.com/ablecloud-team/ablestack-cloud/pull/1041	S8 source review, upload URL regression tests, independent same-version DB cleanup and final version consistency; see s8-verification.ko.md and PR #1041 for final automatic checks.
b0601e5478624f8d6c42c70125449d9b1a9401ba	Fix issue triage github action (#13312)	Excluded		https://github.com/ablecloud-team/ablestack-cloud/pull/1002	S2 current-source review at d415cef44ef5b0008bd81288cd0ef1d280e8a028; PR #1002; s2-review.tsv and S2 verification report. Scope-only exclusion reviewed against changed paths; no runtime behavior imported.
ac6c1c800d9f5c7504296522267f5f12c8d27ade	Add bhouse-nexthop to contributors list (#13420)	Excluded		https://github.com/ablecloud-team/ablestack-cloud/pull/1002	S2 current-source review at d415cef44ef5b0008bd81288cd0ef1d280e8a028; PR #1002; s2-review.tsv and S2 verification report. Scope-only exclusion reviewed against changed paths; no runtime behavior imported.
957bfbb1cddd1ffac718a2d3f135ded4a85b73d1	Replace issue triage agent with githubnext/agentics daily issue triage (#13434)	Excluded		https://github.com/ablecloud-team/ablestack-cloud/pull/1002	S2 current-source review at d415cef44ef5b0008bd81288cd0ef1d280e8a028; PR #1002; s2-review.tsv and S2 verification report. Scope-only exclusion reviewed against changed paths; no runtime behavior imported.
dde6eec7ed4cf2c87ec1c5ac3b81050da7174dd7	Update .asf.yaml (#13438)	Excluded		https://github.com/ablecloud-team/ablestack-cloud/pull/1002	S2 current-source review at d415cef44ef5b0008bd81288cd0ef1d280e8a028; PR #1002; s2-review.tsv and S2 verification report. Scope-only exclusion reviewed against changed paths; no runtime behavior imported.
5ad7daf6100bed5fd8d90c4e186447d549a3cd68	Add code coverage grading workflow (#13140)	Excluded		https://github.com/ablecloud-team/ablestack-cloud/pull/1002	S2 current-source review at d415cef44ef5b0008bd81288cd0ef1d280e8a028; PR #1002; s2-review.tsv and S2 verification report. Scope-only exclusion reviewed against changed paths; no runtime behavior imported.
4ea2645b3e079916c163e69b2b6a42bc25115951	[INFRA] Set up default rulesets for default and release branches (#13169)	Excluded		https://github.com/ablecloud-team/ablestack-cloud/pull/1002	S2 current-source review at d415cef44ef5b0008bd81288cd0ef1d280e8a028; PR #1002; s2-review.tsv and S2 verification report. Scope-only exclusion reviewed against changed paths; no runtime behavior imported.
ce2d890e38733db4cfb43a8f8b5cd1aee5689f4d	Bump the github-actions-dependencies group across 1 directory with 5 updates (#13396)	Adapted	274a653f8ee24876bd40fe3a63cdaac3fae2f100	https://github.com/ablecloud-team/ablestack-cloud/pull/1002	Reviewed/tested head 0725e2c585b35b45d9e9e8f180f051d2022a59a6; merged 17287b59fe3dffccd64003e366c17e274a9b0b28; s2-verification.ko.md and s2-review.tsv. Backend https://github.com/ablecloud-team/ablestack-cloud/actions/runs/34459707761 (12265 tests, failures0/errors0/skipped17); Rocky9.8 https://github.com/ablecloud-team/ablestack-cloud/actions/runs/34459707809; row-specific scope: Core build/RAT/UI/pre-commit and existing simulator ci.yml action pins use final Apache4.23 SHAs. Apache-only Sonar/CodeQL/automation and docker-cloudstack-simulator updates are omitted. Core jobs execute in PR #1002; repository-gated simulator and coverage uploads remain inactive.
06aebb63ee93254c412792f5cac83a1d8a9a4d6a	Update .asf.yaml: remove protected_branches	Excluded		https://github.com/ablecloud-team/ablestack-cloud/pull/1002	S2 current-source review at d415cef44ef5b0008bd81288cd0ef1d280e8a028; PR #1002; s2-review.tsv and S2 verification report. Scope-only exclusion reviewed against changed paths; no runtime behavior imported.
288f9a9fd73e8715f912db20227bdf61a6496f1a	framework/spring: throw RuntimeException when fail to start or load a module (#13186)	Applied	551a19f7caecb817c48eca0e9f3754d433aac241	https://github.com/ablecloud-team/ablestack-cloud/pull/1016	Final local/Actions Java and UI; actual JDBC full-baseline upgrade/fresh/partial failure/concurrent retry; runtime reservation and Quota fixtures. See s4-verification.ko.md and s4-local-tests.tsv.
ce52b9dae0cef57394967346247914a47cb04da4	Merge branch '4.20' into 20.3.0-sec	Already Satisfied	d7b88c24e3630de4d8b277d1a890599ff85e4672	https://github.com/ablecloud-team/ablestack-cloud/pull/1035	Local noredist/simulator regression, UI351, image-server122, NAS shell9, MySQL fresh/whole014/S5A upgrade and all17 DDL interruption retries, management API. See s5b-verification.ko.md and s5b-local-tests.tsv; official final-head Actions are linked from PR1035. Physical tests deferred to #1025 after all code merges.
d5101b0c905a818a83c5048dc37447162040089e	Merge branch '4.20' into 4.22	Already Satisfied	d7b88c24e3630de4d8b277d1a890599ff85e4672	https://github.com/ablecloud-team/ablestack-cloud/pull/1035	Local noredist/simulator regression, UI351, image-server122, NAS shell9, MySQL fresh/whole014/S5A upgrade and all17 DDL interruption retries, management API. See s5b-verification.ko.md and s5b-local-tests.tsv; official final-head Actions are linked from PR1035. Physical tests deferred to #1025 after all code merges.
fb5e24fa086880b0b3058278c0878ef404af0e59	Merge branch '4.22'	Already Satisfied	df859ac8cb4a2cd6b06fdd11f3a074d49083f563	https://github.com/ablecloud-team/ablestack-cloud/pull/1039	S7 Docker UI380, actual MySQL fresh/014/S6 upgrade and repeat plus interrupted-DDL replay, Management GUI theme API; final Java/Chromium/official Actions evidence in s7-verification.ko.md and PR #1039. Physical scenarios NOT_RUN #1025.
7e84850a03a1c5deae9fe9c0a53dab3d569607ca	Restrict trigger push branch for GitHub Workflow (#13522)	Adapted	274a653f8ee24876bd40fe3a63cdaac3fae2f100	https://github.com/ablecloud-team/ablestack-cloud/pull/1002	Reviewed/tested head 0725e2c585b35b45d9e9e8f180f051d2022a59a6; merged 17287b59fe3dffccd64003e366c17e274a9b0b28; s2-verification.ko.md and s2-review.tsv. Backend https://github.com/ablecloud-team/ablestack-cloud/actions/runs/34459707761 (12265 tests, failures0/errors0/skipped17); Rocky9.8 https://github.com/ablecloud-team/ablestack-cloud/actions/runs/34459707809; row-specific scope: Build/RAT/UI and existing simulator ci.yml push triggers restricted to ablestack-europa. PR and existing workflow_call triggers remain available. The simulator repository condition stays apache/cloudstack, so its syntax and branch mapping are reviewed but simulator execution is not claimed.
4beab943f2ae5d8705dbaf2f9b5e51702fbc58a8	Add draft project security threat-model document (#13293)	Applied	e086c2433302499068ccfea6ae41b3e642554297	https://github.com/ablecloud-team/ablestack-cloud/pull/1009	Security-document path/reference review and Actions License Check; full local 11704 tests (0 failures/0 errors/14 skips), UI343; final source Actions PASS; s3-verification.ko.md
b3b9caddc191da6842b99ee6b2f2d5f92cb70145	Merge remote-tracking branch 'apache/4.22'	Already Satisfied	df859ac8cb4a2cd6b06fdd11f3a074d49083f563	https://github.com/ablecloud-team/ablestack-cloud/pull/1039	S7 Docker UI380, actual MySQL fresh/014/S6 upgrade and repeat plus interrupted-DDL replay, Management GUI theme API; final Java/Chromium/official Actions evidence in s7-verification.ko.md and PR #1039. Physical scenarios NOT_RUN #1025.
d35c1cd3ffe627494d52ec5db7a3443adbcfc5e7	Remove the duplicate configkey json.content.type (#13264)	Adapted	e086c2433302499068ccfea6ae41b3e642554297	https://github.com/ablecloud-team/ablestack-cloud/pull/1009	Complete Maven regression; API dispatch/context/servlet/server and dependency linkage review; full local 11704 tests (0 failures/0 errors/14 skips), UI343; final source Actions PASS; s3-verification.ko.md
c8b7816d5ee064f4c5affe79124de4a9394e4f56	marvin: install mysql-connector-python >= 8.4.0 (#13482)	Applied	8aa74e786d1416f20377579ac32182e0acd915aa	https://github.com/ablecloud-team/ablestack-cloud/pull/1002	Reviewed/tested head 0725e2c585b35b45d9e9e8f180f051d2022a59a6; merged 17287b59fe3dffccd64003e366c17e274a9b0b28; s2-verification.ko.md and s2-review.tsv. Backend https://github.com/ablecloud-team/ablestack-cloud/actions/runs/34459707761 (12265 tests, failures0/errors0/skipped17); Rocky9.8 https://github.com/ablecloud-team/ablestack-cloud/actions/runs/34459707809; row-specific scope: Marvin mysql-connector-python >=8.4.0 applied; Python3.10 isolated installation/import with8.4.0 passed. Official Rocky9.8 RPM built and packaged Marvin successfully.
c7e2c748f74619e3b0454d6f2904b89abaf39003	Merge remote-tracking branch 'apache/4.20' into 4.22	Already Satisfied	1159774943e6b8a9542260ed7a154121ef0cf480	https://github.com/ablecloud-team/ablestack-cloud/pull/1037	s6-merge-review.tsv; s6-verification.ko.md
265b554d608ef42d7c77de0eab088a46f8c4fd81	Fix 4.22 build failures after forward-merge and rename 42010to42100 to 42040to42100	Adapted	551a19f7caecb817c48eca0e9f3754d433aac241	https://github.com/ablecloud-team/ablestack-cloud/pull/1016	Final local/Actions Java and UI; actual JDBC full-baseline upgrade/fresh/partial failure/concurrent retry; runtime reservation and Quota fixtures. See s4-verification.ko.md and s4-local-tests.tsv.
846803db0766e95e618d0675186268c4d31fefb0	Merge remote-tracking branch 'apache/4.22'	Already Satisfied	1159774943e6b8a9542260ed7a154121ef0cf480	https://github.com/ablecloud-team/ablestack-cloud/pull/1037	s6-merge-review.tsv; s6-verification.ko.md
1c1611df2fd32ec160171de9f5f9031275f882bf	Ubuntu 26.04: remove requiretty from /etc/sudoers.d/cloudstack and fix setup-sysvm-tmplt (#13476)	Applied	d7b88c24e3630de4d8b277d1a890599ff85e4672	https://github.com/ablecloud-team/ablestack-cloud/pull/1035	Local noredist/simulator regression, UI351, image-server122, NAS shell9, MySQL fresh/whole014/S5A upgrade and all17 DDL interruption retries, management API. See s5b-verification.ko.md and s5b-local-tests.tsv; official final-head Actions are linked from PR1035. Physical tests deferred to #1025 after all code merges.
a503a52ba6907cdfa704212dac9d5d831a248f3d	Merge remote-tracking branch 'apache/4.22'	Already Satisfied	d7b88c24e3630de4d8b277d1a890599ff85e4672	https://github.com/ablecloud-team/ablestack-cloud/pull/1035	Local noredist/simulator regression, UI351, image-server122, NAS shell9, MySQL fresh/whole014/S5A upgrade and all17 DDL interruption retries, management API. See s5b-verification.ko.md and s5b-local-tests.tsv; official final-head Actions are linked from PR1035. Physical tests deferred to #1025 after all code merges.
4c0a3e14992ecf6412b064f34f2ce7d84e94e584	marvin: use pycryptodome instead of PyCrypt (#13594)	Applied	8aa74e786d1416f20377579ac32182e0acd915aa	https://github.com/ablecloud-team/ablestack-cloud/pull/1002	Reviewed/tested head 0725e2c585b35b45d9e9e8f180f051d2022a59a6; merged 17287b59fe3dffccd64003e366c17e274a9b0b28; s2-verification.ko.md and s2-review.tsv. Backend https://github.com/ablecloud-team/ablestack-cloud/actions/runs/34459707761 (12265 tests, failures0/errors0/skipped17); Rocky9.8 https://github.com/ablecloud-team/ablestack-cloud/actions/runs/34459707809; row-specific scope: Marvin pycryptodome replaces PyCrypt; Python3.10 isolated installation/import and AES roundtrip passed with pycryptodome3.23.0. Official Rocky9.8 RPM packaging passed.
38b674f4426fa8a9ab72ce485b1bdad62e2f1e4f	Add AGENTS.md + SECURITY.md wiring for security-model discoverability (#13554)	Applied	e086c2433302499068ccfea6ae41b3e642554297	https://github.com/ablecloud-team/ablestack-cloud/pull/1009	Security-document path/reference review and Actions License Check; full local 11704 tests (0 failures/0 errors/14 skips), UI343; final source Actions PASS; s3-verification.ko.md
76a4bc8c9dea970f829772fdb8419013974797f9	Merge remote-tracking branch 'apache/4.20' into 4.22	Already Satisfied	d7b88c24e3630de4d8b277d1a890599ff85e4672	https://github.com/ablecloud-team/ablestack-cloud/pull/1035	Local noredist/simulator regression, UI351, image-server122, NAS shell9, MySQL fresh/whole014/S5A upgrade and all17 DDL interruption retries, management API. See s5b-verification.ko.md and s5b-local-tests.tsv; official final-head Actions are linked from PR1035. Physical tests deferred to #1025 after all code merges.
17e5947a6d2cea3ced8d892e13d04b4e838f8d8e	server: add removed Tests for listHostsForMigrationOfVM and fix test failures	Adapted	8a4f0b5fec734cbe5d8c28cbffc1a599cfb0b19d	https://github.com/ablecloud-team/ablestack-cloud/pull/1024	Local noredist/simulator regression, UI351, actual MySQL fresh/whole014/S4 upgrade/DDL failure replay and management API; official Actions and source details in s5a-verification.ko.md. Hardware scenarios are separately tracked in #1025 after all code merges.
fe3df6b660d3757797235cf4cbd3f96716feffbe	Merge branch '4.22' into 'main'	Already Satisfied	d7b88c24e3630de4d8b277d1a890599ff85e4672	https://github.com/ablecloud-team/ablestack-cloud/pull/1035	Local noredist/simulator regression, UI351, image-server122, NAS shell9, MySQL fresh/whole014/S5A upgrade and all17 DDL interruption retries, management API. See s5b-verification.ko.md and s5b-local-tests.tsv; official final-head Actions are linked from PR1035. Physical tests deferred to #1025 after all code merges.
24fd90a24878c56fb48934b95ca6664c5f519828	server: fix build failures after merge-forward	Already Satisfied	8a4f0b5fec734cbe5d8c28cbffc1a599cfb0b19d	https://github.com/ablecloud-team/ablestack-cloud/pull/1024	Local noredist/simulator regression, UI351, actual MySQL fresh/whole014/S4 upgrade/DDL failure replay and management API; official Actions and source details in s5a-verification.ko.md. Hardware scenarios are separately tracked in #1025 after all code merges.
d2a3bd1aa78a516f47d5cf683bbb1327a121a4b8	Rename draft-THREAT-MODEL.md to THREAT_MODEL.md (#13599)	Applied	e086c2433302499068ccfea6ae41b3e642554297	https://github.com/ablecloud-team/ablestack-cloud/pull/1009	Security-document path/reference review and Actions License Check; full local 11704 tests (0 failures/0 errors/14 skips), UI343; final source Actions PASS; s3-verification.ko.md
13742921d1ec3eacd529e0c361bde77071bcaa33	Fix simulator test failures on main (#13608)	Applied	e57a72d8f4fd35906d81183608aab3aa2c0ec93d	https://github.com/ablecloud-team/ablestack-cloud/pull/1037	s6-verification.ko.md
332800480dfc79a761c2252a36fbf21d3f87cd72	debian/ubuntu: ignore pycompile errors (#13602)	Excluded		https://github.com/ablecloud-team/ablestack-cloud/pull/1002	S2 current-source review at d415cef44ef5b0008bd81288cd0ef1d280e8a028; PR #1002; s2-review.tsv and S2 verification report. Scope-only exclusion reviewed against changed paths; no runtime behavior imported.
0e43c6a818e1a74056f464a87c40941f8fb7d191	tools/docker: Build docker image cloudstack-simulator (#13597)	Excluded		https://github.com/ablecloud-team/ablestack-cloud/pull/1002	S2 current-source review at d415cef44ef5b0008bd81288cd0ef1d280e8a028; PR #1002; s2-review.tsv and S2 verification report. Scope-only exclusion reviewed against changed paths; no runtime behavior imported.
e1cf0f335a7f2e4b6cd71c3147ef64bcd89d486e	Merge branch 4.22 to main	Already Satisfied	1159774943e6b8a9542260ed7a154121ef0cf480	https://github.com/ablecloud-team/ablestack-cloud/pull/1037	s6-merge-review.tsv; s6-verification.ko.md
5a67f1930ccbd2f568c07df53f9a6981ad72f629	Update tools/build/build_asf.sh (#13812)	Excluded		https://github.com/ablecloud-team/ablestack-cloud/pull/1002	S2 current-source review at d415cef44ef5b0008bd81288cd0ef1d280e8a028; PR #1002; s2-review.tsv and S2 verification report. Scope-only exclusion reviewed against changed paths; no runtime behavior imported.
cced071159f6284b92e20b3e5bd2329d4c0fdbc0	Add Dogface2k to the contributors list	Excluded		https://github.com/ablecloud-team/ablestack-cloud/pull/1002	S2 current-source review at d415cef44ef5b0008bd81288cd0ef1d280e8a028; PR #1002; s2-review.tsv and S2 verification report. Scope-only exclusion reviewed against changed paths; no runtime behavior imported.
