# Licensed to the Apache Software Foundation (ASF) under one
# or more contributor license agreements.  See the NOTICE file
# distributed with this work for additional information
# regarding copyright ownership.  The ASF licenses this file
# to you under the Apache License, Version 2.0 (the
# "License"); you may not use this file except in compliance
# with the License.  You may obtain a copy of the License at
#
#   http://www.apache.org/licenses/LICENSE-2.0
#
# Unless required by applicable law or agreed to in writing,
# software distributed under the License is distributed on an
# "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY
# KIND, either express or implied.  See the License for the
# specific language governing permissions and limitations
# under the License.
source_sha	workstream	subject	decision	initial_europa_sha	verified_source_sha	pr	review	verification
288f9a9fd73e8715f912db20227bdf61a6496f1a	S2	framework/spring: throw RuntimeException when fail to start or load a module (#13186)	Applied	d855076ce8341aa1a0af3c179b6dff219a8eec59	551a19f7caecb817c48eca0e9f3754d433aac241	https://github.com/ablecloud-team/ablestack-cloud/pull/1016	Propagate Spring module/component startup failures. Real Usage startup without required settings exits1, configured Usage and Quota starts successfully.	Final local/Actions Java and UI; actual JDBC full-baseline upgrade/fresh/partial failure/concurrent retry; runtime reservation and Quota fixtures. See s4-verification.ko.md and s4-local-tests.tsv.
99e34dd443cd0f02e589815da05f4f12e0296942	S4	[20.3] resource allocation	Adapted	8eea8a83601dd4e1689d5d05e3b3b019e6495cfa	551a19f7caecb817c48eca0e9f3754d433aac241	https://github.com/ablecloud-team/ablestack-cloud/pull/1016	Retain Europa GPU resource interface and BucketDao; add network-domain count methods and matching mock implementation; reconcile imports.	Final local/Actions Java and UI; actual JDBC full-baseline upgrade/fresh/partial failure/concurrent retry; runtime reservation and Quota fixtures. See s4-verification.ko.md and s4-local-tests.tsv.
2671026f90cee403daa3651163a4ea986b0c96c4	S4	[20.3] resource instance limits	Already Satisfied	8eea8a83601dd4e1689d5d05e3b3b019e6495cfa	551a19f7caecb817c48eca0e9f3754d433aac241	https://github.com/ablecloud-team/ablestack-cloud/pull/1016	Europa already implements later extracted startVirtualMachineUnchecked with conditional VM/CPU/RAM/GPU try-with-reservations and typed failure propagation. Preserve fast-clone guard and explicit host/pod/cluster contracts; validate final resource tests.	Final local/Actions Java and UI; actual JDBC full-baseline upgrade/fresh/partial failure/concurrent retry; runtime reservation and Quota fixtures. See s4-verification.ko.md and s4-local-tests.tsv.
171ff3260da3f8f786cebabe899d9730325fc038	S4	[20.3] Implement/fix limit validation for projects	Adapted	7f880b1d2cec3c6f45d20235ca6aa379a7d2a26d	551a19f7caecb817c48eca0e9f3754d433aac241	https://github.com/ablecloud-team/ablestack-cloud/pull/1016	Keep S3 project reservations, owner transfer counts and invitation cleanup; apply resource model and domain counting changes without reverting final project lifecycle.	Final local/Actions Java and UI; actual JDBC full-baseline upgrade/fresh/partial failure/concurrent retry; runtime reservation and Quota fixtures. See s4-verification.ko.md and s4-local-tests.tsv.
c9e644af74a36f60053012c38656589e255a97b5	S4	[20.3] resource allocation vpc	Adapted	575661f6d919b0710309a6c655801843c5fa2fbc	551a19f7caecb817c48eca0e9f3754d433aac241	https://github.com/ablecloud-team/ablestack-cloud/pull/1016	Preserve Europa VPN/domain helpers while adding VPC reservation import.	Final local/Actions Java and UI; actual JDBC full-baseline upgrade/fresh/partial failure/concurrent retry; runtime reservation and Quota fixtures. See s4-verification.ko.md and s4-local-tests.tsv.
d8bdc8b3b893ff813b9ef21ee5b8ec4685e56dff	S4	Check resource reservation on volume creation	Already Satisfied	80d8aa0b51a1f0104e96988dae0d37e8e69ab2c1	551a19f7caecb817c48eca0e9f3754d433aac241	https://github.com/ablecloud-team/ablestack-cloud/pull/1016	Baseline volume/primary-storage CheckedReservation and KVDO commitVolume contract already satisfy the change; duplicate import introduced during conflict resolution removed. Final reservation handles are adapted under 2377.	Final local/Actions Java and UI; actual JDBC full-baseline upgrade/fresh/partial failure/concurrent retry; runtime reservation and Quota fixtures. See s4-verification.ko.md and s4-local-tests.tsv.
d75140b657986bb214ab06f12b323b52b30eb8fe	S4	[20.3] handle user's canned policy when a bucket is deleted	Already Satisfied	5d12d16087121a48af6724e2c37097dac833458e	551a19f7caecb817c48eca0e9f3754d433aac241	https://github.com/ablecloud-team/ablestack-cloud/pull/1016	BucketTO accountId and MinIO policy rebuild on deletion are present in baseline; exclusion of deleted bucket and Deny when no buckets remain reviewed, MinIO regression included.	Final local/Actions Java and UI; actual JDBC full-baseline upgrade/fresh/partial failure/concurrent retry; runtime reservation and Quota fixtures. See s4-verification.ko.md and s4-local-tests.tsv.
9a4f3415507835c88ed1720a0a2a08907405bad8	S4	Check resource reservation on volume snapshot creation	Adapted	59e9755395926499886182ead3f8b4ce588c6a5a	551a19f7caecb817c48eca0e9f3754d433aac241	https://github.com/ablecloud-team/ablestack-cloud/pull/1016	Retain Europa snapshot reservation/typed failure/backup extensions; remove obsolete non-atomic precheck that incorrectly always checks secondary storage.	Final local/Actions Java and UI; actual JDBC full-baseline upgrade/fresh/partial failure/concurrent retry; runtime reservation and Quota fixtures. See s4-verification.ko.md and s4-local-tests.tsv.
b07831b56c1e9067bc24151ef737fa1e4c619411	S4	Implement/fix limit validation for secondary storage	Adapted	efd22b3792faa995e107a5cf38d96ffcc42e6dcf	551a19f7caecb817c48eca0e9f3754d433aac241	https://github.com/ablecloud-team/ablestack-cloud/pull/1016	Preserve byte-based post-upload limits, S3 URL validation, current upload allocation and Spring test wiring. Retain null-size copy guards and existing reservations while applying missing secondary-storage count changes.	Final local/Actions Java and UI; actual JDBC full-baseline upgrade/fresh/partial failure/concurrent retry; runtime reservation and Quota fixtures. See s4-verification.ko.md and s4-local-tests.tsv.
822696c4181bac27e155b1c61530f7fd6bd53ba2	S4	Fix resource limit reservation and check during StartVirtualMachine	Already Satisfied	efd22b3792faa995e107a5cf38d96ffcc42e6dcf	551a19f7caecb817c48eca0e9f3754d433aac241	https://github.com/ablecloud-team/ablestack-cloud/pull/1016	Existing Europa startVirtualMachineUnchecked and conditional VM/CPU/RAM reservations match final 822 behavior with additional GPU and fast-clone/explicit-host safeguards. Preserve final typed exceptions.	Final local/Actions Java and UI; actual JDBC full-baseline upgrade/fresh/partial failure/concurrent retry; runtime reservation and Quota fixtures. See s4-verification.ko.md and s4-local-tests.tsv.
ca7b08accebfaefce323c3c3810a144336256a99	S4	secondary storage resource limit for download	Already Satisfied	fed4c6d2863c0f514020ca11594adb6f60bd0236	551a19f7caecb817c48eca0e9f3754d433aac241	https://github.com/ablecloud-team/ablestack-cloud/pull/1016	Baseline already enforces download secondary-storage limits and null-size/account handling; duplicated completion recount removed, leaving one final recount.	Final local/Actions Java and UI; actual JDBC full-baseline upgrade/fresh/partial failure/concurrent retry; runtime reservation and Quota fixtures. See s4-verification.ko.md and s4-local-tests.tsv.
ced36291e7ad80d5b16ecd3e13a0c2a269056f54	S4	volume download fix	Already Satisfied	5d12d16087121a48af6724e2c37097dac833458e	551a19f7caecb817c48eca0e9f3754d433aac241	https://github.com/ablecloud-team/ablestack-cloud/pull/1016	Baseline BaseImageStoreDriverImpl preserves measured volume/store sizes on download error and uses ERROR_DOWNLOAD_STATES for failure callback.	Final local/Actions Java and UI; actual JDBC full-baseline upgrade/fresh/partial failure/concurrent retry; runtime reservation and Quota fixtures. See s4-verification.ko.md and s4-local-tests.tsv.
021a18dd98338de9772b3b7c89cc43802d1a862e	S4	secondary storage resource limit for upload	Adapted	534abb7e46a2c139e02232bc71b57f89e2953896	551a19f7caecb817c48eca0e9f3754d433aac241	https://github.com/ablecloud-team/ablestack-cloud/pull/1016	Preserve reservation DAO and last measured upload size, including final secondary-storage enforcement already present in Europa.	Final local/Actions Java and UI; actual JDBC full-baseline upgrade/fresh/partial failure/concurrent retry; runtime reservation and Quota fixtures. See s4-verification.ko.md and s4-local-tests.tsv.
c522e963a7a1082230b46fdbf6161e553ff95a08	S4	Consider infinite resources when calculating secondary storage limit for upload operations	Already Satisfied	9d4a0d7a1c6a591026f94ad9516271b869e23c51	551a19f7caecb817c48eca0e9f3754d433aac241	https://github.com/ablecloud-team/ablestack-cloud/pull/1016	Baseline already sends byte-based upload limits and preserves -1 unlimited; obsolete import removal has no behavioral effect.	Final local/Actions Java and UI; actual JDBC full-baseline upgrade/fresh/partial failure/concurrent retry; runtime reservation and Quota fixtures. See s4-verification.ko.md and s4-local-tests.tsv.
2377dc5e63f21e646ca54abaae8287c521717280	S4	[20.3] Address limit checks for VM, CPU, memory, volume, and primary storage	Adapted	1b6f978d1f04abbbadd5e1af9ebce8fc4cbefdd2	551a19f7caecb817c48eca0e9f3754d433aac241	https://github.com/ablecloud-team/ablestack-cloud/pull/1016	Adopt reservation handles and delta/tag accounting while preserving Europa GPU, KVDO, VM import validation and snapshot behavior Partial persist/cleanup failures attempt all remaining reservations; real MySQL concurrency 1 accepted/7 rejected/0 remaining.	Final local/Actions Java and UI; actual JDBC full-baseline upgrade/fresh/partial failure/concurrent retry; runtime reservation and Quota fixtures. See s4-verification.ko.md and s4-local-tests.tsv.
08bb37a566eab9c9eda1de3f2235290413851df8	S4	Cleanup imported VM from disk on failure due to volume allocation + prevent duplicate volume and primary storage increment on import	Already Satisfied	1b6f978d1f04abbbadd5e1af9ebce8fc4cbefdd2	551a19f7caecb817c48eca0e9f3754d433aac241	https://github.com/ablecloud-team/ablestack-cloud/pull/1016	Already has allocateRawVolume updateResourceCount switch, false for imports, true for deployment, and outer reservation failure cleanup; preserve explicit device IDs and EXTERNAL template path	Final local/Actions Java and UI; actual JDBC full-baseline upgrade/fresh/partial failure/concurrent retry; runtime reservation and Quota fixtures. See s4-verification.ko.md and s4-local-tests.tsv.
928dc7dfc0adf2bba07240cb1c10073fc3b2f654	S4	Fix failing tests	Already Satisfied	5d12d16087121a48af6724e2c37097dac833458e	551a19f7caecb817c48eca0e9f3754d433aac241	https://github.com/ablecloud-team/ablestack-cloud/pull/1016	Baseline VM import tests already match allocateRawVolume updateResourceCount boolean; final import tests preserve false for imports and typed cleanup.	Final local/Actions Java and UI; actual JDBC full-baseline upgrade/fresh/partial failure/concurrent retry; runtime reservation and Quota fixtures. See s4-verification.ko.md and s4-local-tests.tsv.
3f4f574e5c95349dbf0c3328ea1e737d69374d03	S4	Address public IP limit validations	Already Satisfied	1b6f978d1f04abbbadd5e1af9ebce8fc4cbefdd2	551a19f7caecb817c48eca0e9f3754d433aac241	https://github.com/ablecloud-team/ablestack-cloud/pull/1016	Europa already reserves create/update/dedicate public IP ranges, releases handles and applies resource count deltas; preserve provider and domain extensions	Final local/Actions Java and UI; actual JDBC full-baseline upgrade/fresh/partial failure/concurrent retry; runtime reservation and Quota fixtures. See s4-verification.ko.md and s4-local-tests.tsv.
a09835b1f4cea559aa93a49ea16ac37eddda6a2e	S4	review comments	Already Satisfied	1b6f978d1f04abbbadd5e1af9ebce8fc4cbefdd2	551a19f7caecb817c48eca0e9f3754d433aac241	https://github.com/ablecloud-team/ablestack-cloud/pull/1016	Project transfer already avoids duplicate checks; nullable download sizes/account and template-copy null-size guards are retained in Europa	Final local/Actions Java and UI; actual JDBC full-baseline upgrade/fresh/partial failure/concurrent retry; runtime reservation and Quota fixtures. See s4-verification.ko.md and s4-local-tests.tsv.
4a691f43df625cb32cd09f62ed71a5f60f236d2a	S4	fix identation	Excluded	ea86fe0b358f79ddfaa984df43f721d713b4b82e	551a19f7caecb817c48eca0e9f3754d433aac241	https://github.com/ablecloud-team/ablestack-cloud/pull/1016	Whitespace-only formatting against older reservation bodies is not imported. Initial context application was completely restored by d141290804; final reservation behavior and matching tests are preserved.	Final local/Actions Java and UI; actual JDBC full-baseline upgrade/fresh/partial failure/concurrent retry; runtime reservation and Quota fixtures. See s4-verification.ko.md and s4-local-tests.tsv. # codespell:ignore identation
f6cad87586f6079f14984873ba8839d054254e46	S4	Fix copy snapshot resource limit	Already Satisfied	ea86fe0b358f79ddfaa984df43f721d713b4b82e	551a19f7caecb817c48eca0e9f3754d433aac241	https://github.com/ablecloud-team/ablestack-cloud/pull/1016	Snapshot copy already uses reservations, required-space guard and incremental conversion/extract cleanup; preserve later copy behavior	Final local/Actions Java and UI; actual JDBC full-baseline upgrade/fresh/partial failure/concurrent retry; runtime reservation and Quota fixtures. See s4-verification.ko.md and s4-local-tests.tsv.
639ceeea619701831a89f0ab95b1c362549bf3bc	S4	Fix snapshot copy resource limit concurrency	Already Satisfied	d14129080479e15b5c1cb501ba01a5efc64db8f5	551a19f7caecb817c48eca0e9f3754d433aac241	https://github.com/ablecloud-team/ablestack-cloud/pull/1016	Snapshot chain already reserves total bytes once and passes false for per-snapshot checks; release and failure behavior retained with incremental snapshot support	Final local/Actions Java and UI; actual JDBC full-baseline upgrade/fresh/partial failure/concurrent retry; runtime reservation and Quota fixtures. See s4-verification.ko.md and s4-local-tests.tsv.
7bc458ff85eb950b84a350a00c7a6d5ffe376b8e	S4	Fix for usage server getting stuck due to duplicate VM events (#13019)	Adapted	760271ac245ac30f7320b93a8a90ca14a818d0a8	551a19f7caecb817c48eca0e9f3754d433aac241	https://github.com/ablecloud-team/ablestack-cloud/pull/1016	Extend the upgrade chain with 4.20.3 to 4.20.4 while preserving Europa 4.23 and security migrations Use strict idempotent index removal; same-version S4 migration explicitly invokes the repair.	Final local/Actions Java and UI; actual JDBC full-baseline upgrade/fresh/partial failure/concurrent retry; runtime reservation and Quota fixtures. See s4-verification.ko.md and s4-local-tests.tsv.
265b554d608ef42d7c77de0eab088a46f8c4fd81	S2	Fix 4.22 build failures after forward-merge and rename 42010to42100 to 42040to42100	Adapted	23816859ed6d2138674949dc81c18e29722c57ae	551a19f7caecb817c48eca0e9f3754d433aac241	https://github.com/ablecloud-team/ablestack-cloud/pull/1016	Use the corrected 4.20.3 to 4.20.4 to 4.21 hierarchy with Europa 4.23/security migrations; covered by upgrade path tests and full fresh JDBC chain.	Final local/Actions Java and UI; actual JDBC full-baseline upgrade/fresh/partial failure/concurrent retry; runtime reservation and Quota fixtures. See s4-verification.ko.md and s4-local-tests.tsv.
f2a1f839a7bb605302652992e9eeca99501980e7	S4	Quota UI rework (#13449)	Adapted	ed2046a91d6b419d8dcfc8c256d3be4206d39819	551a19f7caecb817c48eca0e9f3754d433aac241	https://github.com/ablecloud-team/ablestack-cloud/pull/1016	Integrate Quota UI and matching credit APIs, preserve Europa shared view features, regenerate lock with pinned npm 6 and add Korean labels Supplemental pre-checkpoint #9590 dependency; unsupported future soft-delete metadata stays null until S6, existing JsInterpreter constructor retained until Guest OS rules.	Final local/Actions Java and UI; actual JDBC full-baseline upgrade/fresh/partial failure/concurrent retry; runtime reservation and Quota fixtures. See s4-verification.ko.md and s4-local-tests.tsv.
75748a5cb8524d8453d2544d1c5ffe065f1e4d0b	S4	upgrade: Include the database changes from #13019 in the 4.22.1 -> 4.23.0 path (#13617)	Adapted	759dfb28d5d5c9a9fc3af4001db83c45b3052edb	551a19f7caecb817c48eca0e9f3754d433aac241	https://github.com/ablecloud-team/ablestack-cloud/pull/1016	Apply duplicate usage event repair on 4.22.1 to 4.23 path alongside Europa security schema migration Use strict idempotent index removal; same-version S4 migration explicitly invokes the repair.	Final local/Actions Java and UI; actual JDBC full-baseline upgrade/fresh/partial failure/concurrent retry; runtime reservation and Quota fixtures. See s4-verification.ko.md and s4-local-tests.tsv.
8148c532e06f72116a19e94aaa51fcca7eb135b6	S4	Ignore projectid=-1 on Quota summary (#13658)	Applied	beb7fe7c660340f5abf020c2c43154a8446a2eb0	551a19f7caecb817c48eca0e9f3754d433aac241	https://github.com/ablecloud-team/ablestack-cloud/pull/1016	Upstream patch applied; final callers and data/API contracts verified in full regression.	Final local/Actions Java and UI; actual JDBC full-baseline upgrade/fresh/partial failure/concurrent retry; runtime reservation and Quota fixtures. See s4-verification.ko.md and s4-local-tests.tsv.
cd801b8561580f5a867b5900b16597451abab133	S4	usage: widen usage_volume unique key to include vm_id (#13909)	Adapted	097a3e9eaa57ac609afcd6a2bd77f307ec61a783	551a19f7caecb817c48eca0e9f3754d433aac241	https://github.com/ablecloud-team/ablestack-cloud/pull/1016	Add only the usage_volume unique-key migration; preserve Europa schema and defer unrelated parent-context feature DDL to its workstreams	Final local/Actions Java and UI; actual JDBC full-baseline upgrade/fresh/partial failure/concurrent retry; runtime reservation and Quota fixtures. See s4-verification.ko.md and s4-local-tests.tsv.
549daae01ff591adfd0926a1822b45807accde2c	S4	correction in vpc limit assignment (#13627)	Applied	3a9ff13ade9133b3a1bc8411699ab2245862309c	551a19f7caecb817c48eca0e9f3754d433aac241	https://github.com/ablecloud-team/ablestack-cloud/pull/1016	Upstream patch applied; final callers and data/API contracts verified in full regression.	Final local/Actions Java and UI; actual JDBC full-baseline upgrade/fresh/partial failure/concurrent retry; runtime reservation and Quota fixtures. See s4-verification.ko.md and s4-local-tests.tsv.
ba67a627f7a25ca63a8128d28183c5f47f7eeb69	S4	quota: skip usage records registering the period a volume has been attached (#13936)	Applied	06d42e92b4642da3ef591bda74ddc5107bd5202c	551a19f7caecb817c48eca0e9f3754d433aac241	https://github.com/ablecloud-team/ablestack-cloud/pull/1016	Upstream patch applied; final callers and data/API contracts verified in full regression.	Final local/Actions Java and UI; actual JDBC full-baseline upgrade/fresh/partial failure/concurrent retry; runtime reservation and Quota fixtures. See s4-verification.ko.md and s4-local-tests.tsv.
