# Licensed to the Apache Software Foundation (ASF) under one
# or more contributor license agreements.  See the NOTICE file
# distributed with this work for additional information
# regarding copyright ownership.  The ASF licenses this file
# to you under the Apache License, Version 2.0 (the
# "License"); you may not use this file except in compliance
# with the License.  You may obtain a copy of the License at
#
#   http://www.apache.org/licenses/LICENSE-2.0
#
# Unless required by applicable law or agreed to in writing,
# software distributed under the License is distributed on an
# "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY
# KIND, either express or implied.  See the License for the
# specific language governing permissions and limitations
# under the License.
sequence	sha	parents	author_date	commit_date	kind	subject	workstream	issue	related_workstreams	files	db_files	api_files	ui_files	patch_id	reverse_check	same_subject_europa	same_subject_upstream	equivalent_upstream	dependencies	pretriage	decision	europa_sha	pr	validation	reviewed_europa_sha	source_url	notes
73	6bc83a3c46f4b51ddf24483ee1fe3ccf65d2791a	a1959f2dc2e93badc5f3e04a85922f9d391c8ba0	2026-06-08T11:20:20+02:00	2026-06-08T11:20:20+02:00	commit	.github: Upgrade codecov/codecov-action to version 7.0.0 (#13370)	S2	#990		.github/workflows/ci.yml;.github/workflows/main-sonar-check.yml;.github/workflows/sonar-check.yml;.github/workflows/ui.yml				f64a3f7cc80e7513315f11a4d4cdbc5038aa7804	FAIL					Source Review Required	Adapted	274a653f8ee24876bd40fe3a63cdaac3fae2f100	https://github.com/ablecloud-team/ablestack-cloud/pull/1002	Reviewed/tested head 0725e2c585b35b45d9e9e8f180f051d2022a59a6; merged 17287b59fe3dffccd64003e366c17e274a9b0b28; s2-verification.ko.md and s2-review.tsv. Backend https://github.com/ablecloud-team/ablestack-cloud/actions/runs/34459707761 (12265 tests, failures0/errors0/skipped17); Rocky9.8 https://github.com/ablecloud-team/ablestack-cloud/actions/runs/34459707809; row-specific scope: UI and existing simulator ci.yml codecov actions updated to fb8b3582c8e4def4969c97caa2f19720cb33a72f (v7.0.0). Existing apache/cloudstack repository conditions keep both uploads inactive here: validation is source review/actionlint, not coverage-upload PASS. Apache main-sonar/sonar paths are not imported; legacy inactive codecov.yml is retained atv4 for compatibility.	014895d8f3dc2f062f379b51ee62d36a0adae88a	https://github.com/apache/cloudstack/commit/6bc83a3c46f4b51ddf24483ee1fe3ccf65d2791a	UI and existing simulator ci.yml codecov actions updated to fb8b3582c8e4def4969c97caa2f19720cb33a72f (v7.0.0). Existing apache/cloudstack repository conditions keep both uploads inactive here: validation is source review/actionlint, not coverage-upload PASS. Apache main-sonar/sonar paths are not imported; legacy inactive codecov.yml is retained atv4 for compatibility.
74	a7f9756d6267869b96a9209af58c0335835a773d	6bc83a3c46f4b51ddf24483ee1fe3ccf65d2791a	2026-06-10T11:39:39+05:30	2026-06-10T11:39:39+05:30	commit	Remove realhostip references from the code (#12856)	S2	#990	S4,S6,S8	.pre-commit-config.yaml;engine/schema/src/main/resources/META-INF/db/schema-42210to42300.sql;scripts/util/keystore-cert-import;server/src/main/java/com/cloud/server/ConfigurationServerImpl.java;server/src/main/java/com/cloud/storage/download/DownloadMonitorImpl.java;server/src/main/java/com/cloud/storage/upload/UploadMonitorImpl.java;server/src/test/java/com/cloud/keystore/KeystoreTest.java;services/console-proxy/server/pom.xml;services/secondary-storage/server/pom.xml;systemvm/agent/certs/realhostip.crt;systemvm/agent/certs/realhostip.csr;systemvm/agent/certs/realhostip.key;systemvm/agent/certs/realhostip.keystore;systemvm/agent/certs/systemvm.crt;systemvm/agent/certs/systemvm.csr;systemvm/agent/certs/systemvm.key;systemvm/agent/certs/systemvm.keystore;systemvm/agent/scripts/_run.sh;systemvm/agent/scripts/config_ssl.sh;systemvm/debian/opt/cloud/bin/setup/bootstrap.sh;systemvm/patch-sysvms.sh;systemvm/pom.xml;utils/src/test/java/org/apache/cloudstack/utils/imagestore/ImageStoreUtilTest.java	engine/schema/src/main/resources/META-INF/db/schema-42210to42300.sql			44dcc5f1e9151fd1511565d1c05bcfc5946c5a75	FAIL					Source Review Required	Adapted	fa426a86b30a05a20a831a90ccefffc781c064fe	https://github.com/ablecloud-team/ablestack-cloud/pull/1041	S8 source review, upload URL regression tests, independent same-version DB cleanup and final version consistency; see s8-verification.ko.md and PR #1041 for final automatic checks.	b594ba4c4085d59db07c2653c47aec0cfaaee240	https://github.com/apache/cloudstack/commit/a7f9756d6267869b96a9209af58c0335835a773d	신규 설치 및 동일 버전 Europa DB 재실행 게이트 필요. | S2 review: realhostip replacement spans certificate resources, SystemVM scripts and schema defaults; requires the S4/S6 certificate and packaged SystemVM contract. | S8 final adaptation: S8 journal stage replaces upstream historical SQL edit; custom domains preserved, cert bytes unchanged and all consumers renamed.
75	b0601e5478624f8d6c42c70125449d9b1a9401ba	a7f9756d6267869b96a9209af58c0335835a773d	2026-06-11T11:59:31+05:30	2026-06-11T08:29:31+02:00	commit	Fix issue triage github action (#13312)	S2	#990		.github/aw/imports/github/gh-aw/359795d49ada21681ab616bd4cbcb144a7387115/.github_workflows_shared_noop-reminder.md;.github/aw/imports/github/gh-aw/94662b1dee8ce96c876ba9f33b3ab8be32de82a4/.github_workflows_shared_reporting.md;.github/workflows/issue-triage-agent.lock.yml;.github/workflows/issue-triage-agent.md				2e89134c82c610661a8105fd24287d51460e8832	FAIL					Source Review Required	Excluded		https://github.com/ablecloud-team/ablestack-cloud/pull/1002	S2 current-source review at d415cef44ef5b0008bd81288cd0ef1d280e8a028; PR #1002; s2-review.tsv and S2 verification report. Scope-only exclusion reviewed against changed paths; no runtime behavior imported.	014895d8f3dc2f062f379b51ee62d36a0adae88a	https://github.com/apache/cloudstack/commit/b0601e5478624f8d6c42c70125449d9b1a9401ba	기능 소유 이슈에서 patch/API/DB/테스트를 읽고 최종 판정. | S2 review: Apache gh-aw issue triage prompt/generated lock updates; not enabled as a new Europa service.
76	2fd83e13b1879ba5df18204d595c563fc2b10c33	b0601e5478624f8d6c42c70125449d9b1a9401ba	2026-06-12T08:16:10-03:00	2026-06-12T08:16:10-03:00	commit	Introduce Quota resource statement API (#13236)	S4	#992		api/src/main/java/org/apache/cloudstack/api/ApiConstants.java;engine/schema/src/main/resources/META-INF/db/schema-42210to42300.sql;framework/quota/src/main/java/org/apache/cloudstack/quota/QuotaManagerImpl.java;framework/quota/src/main/java/org/apache/cloudstack/quota/constant/QuotaTypes.java;framework/quota/src/main/java/org/apache/cloudstack/quota/dao/QuotaUsageJoinDao.java;framework/quota/src/main/java/org/apache/cloudstack/quota/dao/QuotaUsageJoinDaoImpl.java;framework/quota/src/test/java/org/apache/cloudstack/quota/QuotaManagerImplTest.java;plugins/database/quota/src/main/java/org/apache/cloudstack/api/command/QuotaResourceStatementCmd.java;plugins/database/quota/src/main/java/org/apache/cloudstack/api/command/QuotaStatementCmd.java;plugins/database/quota/src/main/java/org/apache/cloudstack/api/response/QuotaResourceStatementItemResponse.java;plugins/database/quota/src/main/java/org/apache/cloudstack/api/response/QuotaResourceStatementResponse.java;plugins/database/quota/src/main/java/org/apache/cloudstack/api/response/QuotaResponseBuilder.java;plugins/database/quota/src/main/java/org/apache/cloudstack/api/response/QuotaResponseBuilderImpl.java;plugins/database/quota/src/main/java/org/apache/cloudstack/api/response/QuotaStatementResponse.java;plugins/database/quota/src/main/java/org/apache/cloudstack/quota/QuotaService.java;plugins/database/quota/src/main/java/org/apache/cloudstack/quota/QuotaServiceImpl.java;plugins/database/quota/src/test/java/org/apache/cloudstack/api/response/QuotaResponseBuilderImplTest.java;plugins/database/quota/src/test/java/org/apache/cloudstack/quota/QuotaServiceImplTest.java	engine/schema/src/main/resources/META-INF/db/schema-42210to42300.sql	api/src/main/java/org/apache/cloudstack/api/ApiConstants.java		a2b3bc5ccb887e85954f3458983c5f888137aa32	FAIL				a73cc9a22c09954c1631c36d2a11064764cc8355	Source Review Required	Adapted	551a19f7caecb817c48eca0e9f3754d433aac241	https://github.com/ablecloud-team/ablestack-cloud/pull/1016	Final local/Actions Java and UI; actual JDBC full-baseline upgrade/fresh/partial failure/concurrent retry; runtime reservation and Quota fixtures. See s4-verification.ko.md and s4-local-tests.tsv.	014895d8f3dc2f062f379b51ee62d36a0adae88a	https://github.com/apache/cloudstack/commit/2fd83e13b1879ba5df18204d595c563fc2b10c33	신규 설치 및 동일 버전 Europa DB 재실행 게이트 필요. S4 final: Apply only quotaResourceStatement permission hunk; do not import unrelated backup/network parent context. Deduplicate test imports.; source-specific application SHA in s4-review.tsv.
77	2081ac4666e2763755f4c34806a783d0f13f03fd	2fd83e13b1879ba5df18204d595c563fc2b10c33	2026-06-15T13:25:55+02:00	2026-06-15T08:25:55-03:00	commit	Guest OS rules (#10098)	S5A	#993	S4,S7	api/src/main/java/com/cloud/host/Host.java;api/src/main/java/org/apache/cloudstack/api/ApiConstants.java;api/src/main/java/org/apache/cloudstack/api/command/admin/host/UpdateHostCmd.java;api/src/main/java/org/apache/cloudstack/api/response/HostResponse.java;engine/schema/src/main/java/com/cloud/host/HostVO.java;engine/schema/src/main/java/com/cloud/host/dao/HostDao.java;engine/schema/src/main/java/com/cloud/host/dao/HostDaoImpl.java;engine/schema/src/main/resources/META-INF/db/views/cloud.host_view.sql;framework/quota/src/main/java/org/apache/cloudstack/quota/QuotaManagerImpl.java;plugins/database/quota/src/main/java/org/apache/cloudstack/api/response/QuotaResponseBuilderImpl.java;server/src/main/java/com/cloud/agent/manager/allocator/impl/BaseAllocator.java;server/src/main/java/com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java;server/src/main/java/com/cloud/agent/manager/allocator/impl/RandomAllocator.java;server/src/main/java/com/cloud/api/ApiDBUtils.java;server/src/main/java/com/cloud/api/query/dao/HostJoinDaoImpl.java;server/src/main/java/com/cloud/api/query/dao/StoragePoolJoinDaoImpl.java;server/src/main/java/com/cloud/api/query/vo/HostJoinVO.java;server/src/main/java/com/cloud/configuration/ConfigurationManagerImpl.java;server/src/main/java/com/cloud/deploy/DeploymentPlanningManagerImpl.java;server/src/main/java/com/cloud/resource/ResourceManagerImpl.java;server/src/main/java/com/cloud/storage/VolumeApiServiceImpl.java;server/src/main/java/org/apache/cloudstack/storage/heuristics/HeuristicRuleHelper.java;server/src/test/java/com/cloud/agent/manager/allocator/impl/FirstFitAllocatorTest.java;server/src/test/java/com/cloud/agent/manager/allocator/impl/RandomAllocatorTest.java;ui/public/locales/en.json;ui/public/locales/pt_BR.json;ui/src/views/infra/HostUpdate.vue;utils/src/main/java/org/apache/cloudstack/utils/jsinterpreter/GenericRuleHelper.java;utils/src/main/java/org/apache/cloudstack/utils/jsinterpreter/JsInterpreter.java;utils/src/main/java/org/apache/cloudstack/utils/jsinterpreter/TagAsRuleHelper.java;utils/src/test/java/org/apache/cloudstack/utils/jsinterpreter/JsInterpreterTest.java	engine/schema/src/main/resources/META-INF/db/views/cloud.host_view.sql	api/src/main/java/com/cloud/host/Host.java;api/src/main/java/org/apache/cloudstack/api/ApiConstants.java;api/src/main/java/org/apache/cloudstack/api/command/admin/host/UpdateHostCmd.java;api/src/main/java/org/apache/cloudstack/api/response/HostResponse.java	ui/public/locales/en.json;ui/public/locales/pt_BR.json;ui/src/views/infra/HostUpdate.vue	ba92aed0ea228a5357acf67114871030a9d991cc	FAIL					Source Review Required	Adapted	8a4f0b5fec734cbe5d8c28cbffc1a599cfb0b19d	https://github.com/ablecloud-team/ablestack-cloud/pull/1024	Local noredist/simulator regression, UI351, actual MySQL fresh/whole014/S4 upgrade/DDL failure replay and management API; official Actions and source details in s5a-verification.ko.md. Hardware scenarios are separately tracked in #1025 after all code merges.	014895d8f3dc2f062f379b51ee62d36a0adae88a	https://github.com/apache/cloudstack/commit/2081ac4666e2763755f4c34806a783d0f13f03fd	신규 설치 및 동일 버전 Europa DB 재실행 게이트 필요. | S5A review: Add guest OS rules after original host candidate, UEFI and TPM constraints; extend JsInterpreter and Quota callers together without removing migration IP support.
78	ac6c1c800d9f5c7504296522267f5f12c8d27ade	2081ac4666e2763755f4c34806a783d0f13f03fd	2026-06-16T09:48:51+02:00	2026-06-16T09:48:51+02:00	commit	Add bhouse-nexthop to contributors list (#13420)	S2	#990		.asf.yaml				487083716152e23b3d118eefb3469480952163b1	FAIL					Source Review Required	Excluded		https://github.com/ablecloud-team/ablestack-cloud/pull/1002	S2 current-source review at d415cef44ef5b0008bd81288cd0ef1d280e8a028; PR #1002; s2-review.tsv and S2 verification report. Scope-only exclusion reviewed against changed paths; no runtime behavior imported.	014895d8f3dc2f062f379b51ee62d36a0adae88a	https://github.com/apache/cloudstack/commit/ac6c1c800d9f5c7504296522267f5f12c8d27ade	기능 소유 이슈에서 patch/API/DB/테스트를 읽고 최종 판정. | S2 review: ASF collaborator/branch ruleset administration only; the file is not deployed or used by Europa build/RC artifacts. Europa repository permissions and branch policy are managed separately.
79	ce9793c0bef6e33034a1c23bbbca95d7adcccbd7	ac6c1c800d9f5c7504296522267f5f12c8d27ade	2026-06-16T06:46:51-04:00	2026-06-16T16:16:51+05:30	commit	CLVM enhancements and fixes (#12617)	S5B	#994	S7	api/src/main/java/com/cloud/storage/Storage.java;core/src/main/java/com/cloud/agent/api/MigrateCommand.java;core/src/main/java/com/cloud/agent/api/PostMigrationAnswer.java;core/src/main/java/com/cloud/agent/api/PostMigrationCommand.java;core/src/main/java/com/cloud/agent/api/PreMigrationCommand.java;core/src/main/java/org/apache/cloudstack/storage/clvm/command/ClvmLockTransferAnswer.java;core/src/main/java/org/apache/cloudstack/storage/clvm/command/ClvmLockTransferCommand.java;engine/api/src/main/java/org/apache/cloudstack/engine/subsystem/api/storage/VolumeInfo.java;engine/api/src/main/java/org/apache/cloudstack/engine/subsystem/api/storage/VolumeService.java;engine/orchestration/src/main/java/com/cloud/vm/VirtualMachineManagerImpl.java;engine/orchestration/src/main/java/org/apache/cloudstack/engine/orchestration/VolumeOrchestrator.java;engine/orchestration/src/main/resources/META-INF/cloudstack/core/spring-engine-orchestration-core-context.xml;engine/orchestration/src/test/java/com/cloud/vm/VirtualMachineManagerImplTest.java;engine/orchestration/src/test/java/org/apache/cloudstack/engine/orchestration/VolumeOrchestratorTest.java;engine/storage/datamotion/src/main/java/org/apache/cloudstack/storage/motion/AncientDataMotionStrategy.java;engine/storage/datamotion/src/main/java/org/apache/cloudstack/storage/motion/KvmNonManagedStorageDataMotionStrategy.java;engine/storage/datamotion/src/main/java/org/apache/cloudstack/storage/motion/StorageSystemDataMotionStrategy.java;engine/storage/datamotion/src/test/java/org/apache/cloudstack/storage/motion/AncientDataMotionStrategyTest.java;engine/storage/datamotion/src/test/java/org/apache/cloudstack/storage/motion/KvmNonManagedStorageSystemDataMotionTest.java;engine/storage/datamotion/src/test/java/org/apache/cloudstack/storage/motion/StorageSystemDataMotionStrategyTest.java;engine/storage/snapshot/src/main/java/org/apache/cloudstack/storage/snapshot/DefaultSnapshotStrategy.java;engine/storage/snapshot/src/main/java/org/apache/cloudstack/storage/vmsnapshot/DefaultVMSnapshotStrategy.java;engine/storage/snapshot/src/main/java/org/apache/cloudstack/storage/vmsnapshot/StorageVMSnapshotStrategy.java;engine/storage/snapshot/src/test/java/org/apache/cloudstack/storage/snapshot/DefaultSnapshotStrategyTest.java;engine/storage/snapshot/src/test/java/org/apache/cloudstack/storage/vmsnapshot/DefaultVMSnapshotStrategyTest.java;engine/storage/src/main/java/org/apache/cloudstack/storage/endpoint/DefaultEndPointSelector.java;engine/storage/src/test/java/org/apache/cloudstack/storage/endpoint/DefaultEndPointSelectorTest.java;engine/storage/volume/src/main/java/org/apache/cloudstack/storage/datastore/provider/DefaultHostListener.java;engine/storage/volume/src/main/java/org/apache/cloudstack/storage/volume/VolumeObject.java;engine/storage/volume/src/main/java/org/apache/cloudstack/storage/volume/VolumeServiceImpl.java;engine/storage/volume/src/test/java/org/apache/cloudstack/storage/volume/VolumeServiceImplClvmTest.java;plugins/hypervisors/kvm/src/main/java/com/cloud/hypervisor/kvm/resource/LibvirtComputingResource.java;plugins/hypervisors/kvm/src/main/java/com/cloud/hypervisor/kvm/resource/wrapper/LibvirtClvmLockTransferCommandWrapper.java;plugins/hypervisors/kvm/src/main/java/com/cloud/hypervisor/kvm/resource/wrapper/LibvirtMigrateCommandWrapper.java;plugins/hypervisors/kvm/src/main/java/com/cloud/hypervisor/kvm/resource/wrapper/LibvirtModifyStoragePoolCommandWrapper.java;plugins/hypervisors/kvm/src/main/java/com/cloud/hypervisor/kvm/resource/wrapper/LibvirtPostMigrationCommandWrapper.java;plugins/hypervisors/kvm/src/main/java/com/cloud/hypervisor/kvm/resource/wrapper/LibvirtPreMigrationCommandWrapper.java;plugins/hypervisors/kvm/src/main/java/com/cloud/hypervisor/kvm/resource/wrapper/LibvirtPrepareForMigrationCommandWrapper.java;plugins/hypervisors/kvm/src/main/java/com/cloud/hypervisor/kvm/resource/wrapper/LibvirtResizeVolumeCommandWrapper.java;plugins/hypervisors/kvm/src/main/java/com/cloud/hypervisor/kvm/resource/wrapper/LibvirtRevertSnapshotCommandWrapper.java;plugins/hypervisors/kvm/src/main/java/com/cloud/hypervisor/kvm/storage/ClvmStorageAdaptor.java;plugins/hypervisors/kvm/src/main/java/com/cloud/hypervisor/kvm/storage/KVMStoragePool.java;plugins/hypervisors/kvm/src/main/java/com/cloud/hypervisor/kvm/storage/KVMStoragePoolManager.java;plugins/hypervisors/kvm/src/main/java/com/cloud/hypervisor/kvm/storage/KVMStorageProcessor.java;plugins/hypervisors/kvm/src/main/java/com/cloud/hypervisor/kvm/storage/LibvirtStorageAdaptor.java;plugins/hypervisors/kvm/src/main/java/com/cloud/hypervisor/kvm/storage/LibvirtStoragePool.java;plugins/hypervisors/kvm/src/main/java/com/cloud/hypervisor/kvm/storage/StorageAdaptor.java;plugins/hypervisors/kvm/src/test/java/com/cloud/hypervisor/kvm/resource/LibvirtComputingResourceTest.java;plugins/hypervisors/kvm/src/test/java/com/cloud/hypervisor/kvm/resource/wrapper/LibvirtClvmLockTransferCommandWrapperTest.java;plugins/hypervisors/kvm/src/test/java/com/cloud/hypervisor/kvm/resource/wrapper/LibvirtModifyStoragePoolCommandWrapperTest.java;plugins/hypervisors/kvm/src/test/java/com/cloud/hypervisor/kvm/resource/wrapper/LibvirtPostMigrationCommandWrapperTest.java;plugins/hypervisors/kvm/src/test/java/com/cloud/hypervisor/kvm/resource/wrapper/LibvirtPreMigrationCommandWrapperTest.java;plugins/hypervisors/kvm/src/test/java/com/cloud/hypervisor/kvm/storage/ClvmStorageAdaptorTest.java;plugins/hypervisors/kvm/src/test/java/com/cloud/hypervisor/kvm/storage/KVMStorageProcessorTest.java;plugins/hypervisors/kvm/src/test/java/com/cloud/hypervisor/kvm/storage/LibvirtStorageAdaptorTest.java;plugins/storage/volume/default/src/main/java/org/apache/cloudstack/storage/datastore/driver/CloudStackPrimaryDataStoreDriverImpl.java;plugins/storage/volume/default/src/main/java/org/apache/cloudstack/storage/datastore/lifecycle/CloudStackPrimaryDataStoreLifeCycleImpl.java;plugins/storage/volume/default/src/test/java/org/apache/cloudstack/storage/datastore/driver/CloudStackPrimaryDataStoreDriverImplTest.java;pom.xml;scripts/storage/qcow2/managesnapshot.sh;scripts/storage/qcow2/resizevolume.sh;server/src/main/java/com/cloud/api/query/dao/StoragePoolJoinDaoImpl.java;server/src/main/java/com/cloud/api/query/dao/VolumeJoinDaoImpl.java;server/src/main/java/com/cloud/storage/StorageManagerImpl.java;server/src/main/java/com/cloud/storage/VolumeApiServiceImpl.java;server/src/main/java/com/cloud/storage/clvm/ClvmPoolManager.java;server/src/main/java/com/cloud/storage/snapshot/SnapshotManagerImpl.java;server/src/main/java/com/cloud/vm/UserVmManagerImpl.java;server/src/main/java/com/cloud/vm/snapshot/VMSnapshotManagerImpl.java;server/src/main/resources/META-INF/cloudstack/core/spring-server-core-managers-context.xml;server/src/test/java/com/cloud/storage/ClvmPoolManagerTest.java;server/src/test/java/com/cloud/storage/VolumeApiServiceImplTest.java;server/src/test/java/com/cloud/storage/snapshot/SnapshotManagerImplTest.java;ui/src/views/infra/AddPrimaryStorage.vue;utils/src/main/java/com/cloud/utils/UriUtils.java;utils/src/test/java/com/cloud/utils/UriUtilsTest.java		api/src/main/java/com/cloud/storage/Storage.java	ui/src/views/infra/AddPrimaryStorage.vue	e01ba6ef8f003c9321fb3f466be0883813d2523d	FAIL					Source Review Required	Adapted	d7b88c24e3630de4d8b277d1a890599ff85e4672	https://github.com/ablecloud-team/ablestack-cloud/pull/1035	Local noredist/simulator regression, UI351, image-server122, NAS shell9, MySQL fresh/whole014/S5A upgrade and all17 DDL interruption retries, management API. See s5b-verification.ko.md and s5b-local-tests.tsv; official final-head Actions are linked from PR1035. Physical tests deferred to #1025 after all code merges.	d7b88c24e3630de4d8b277d1a890599ff85e4672	https://github.com/apache/cloudstack/commit/ce9793c0bef6e33034a1c23bbbca95d7adcccbd7	기능 소유 이슈에서 patch/API/DB/테스트를 읽고 최종 판정. | S5B final review: Integrate Apache #12617 CLVM/CLVM_NG adaptor and locking. Preserve storage-specific provider lookup, RBD parent/thin, FTCTL guards and ISO slot semantics; include both subsequent CLVM fixes.
80	02bb5de4de4bf305afb08a5906d81ab2413187a3	ce9793c0bef6e33034a1c23bbbca95d7adcccbd7	2026-06-17T13:41:02-03:00	2026-06-17T13:41:02-03:00	commit	Addition of description field for NIC's secondary IP addresses (#12864)	S6	#997	S4,S7	api/src/main/java/com/cloud/network/NetworkService.java;api/src/main/java/com/cloud/vm/NicSecondaryIp.java;api/src/main/java/org/apache/cloudstack/api/command/user/vm/AddIpToVmNicCmd.java;api/src/main/java/org/apache/cloudstack/api/response/NicSecondaryIpResponse.java;api/src/test/java/org/apache/cloudstack/api/command/test/AddIpToVmNicTest.java;engine/schema/src/main/java/com/cloud/vm/dao/NicSecondaryIpVO.java;engine/schema/src/main/resources/META-INF/db/schema-42210to42300.sql;server/src/main/java/com/cloud/api/ApiResponseHelper.java;server/src/main/java/com/cloud/api/query/dao/UserVmJoinDaoImpl.java;server/src/main/java/com/cloud/network/NetworkServiceImpl.java;server/src/test/java/com/cloud/vpc/MockNetworkManagerImpl.java;ui/public/locales/en.json;ui/public/locales/pt_BR.json;ui/src/views/network/NicsTab.vue;ui/src/views/network/NicsTable.vue	engine/schema/src/main/resources/META-INF/db/schema-42210to42300.sql	api/src/main/java/com/cloud/network/NetworkService.java;api/src/main/java/com/cloud/vm/NicSecondaryIp.java;api/src/main/java/org/apache/cloudstack/api/command/user/vm/AddIpToVmNicCmd.java;api/src/main/java/org/apache/cloudstack/api/response/NicSecondaryIpResponse.java;api/src/test/java/org/apache/cloudstack/api/command/test/AddIpToVmNicTest.java	ui/public/locales/en.json;ui/public/locales/pt_BR.json;ui/src/views/network/NicsTab.vue;ui/src/views/network/NicsTable.vue	9f0c107670707da4fabad1ce561792febc92b933	FAIL					Source Review Required	Adapted	5ff3ab5fde2080b438dfa42684647973988cf49f	https://github.com/ablecloud-team/ablestack-cloud/pull/1037	s6-verification.ko.md	1159774943e6b8a9542260ed7a154121ef0cf480	https://github.com/apache/cloudstack/commit/02bb5de4de4bf305afb08a5906d81ab2413187a3	신규 설치 및 동일 버전 Europa DB 재실행 게이트 필요. | S6: Preserve NIC link-state visibility and existing form; add description field and API propagation; SQL delta only New S6 journal phase installs DDL for existing same-version DBs; earlier completed phases are unchanged.
81	957bfbb1cddd1ffac718a2d3f135ded4a85b73d1	02bb5de4de4bf305afb08a5906d81ab2413187a3	2026-06-17T23:45:03+05:30	2026-06-17T20:15:03+02:00	commit	Replace issue triage agent with githubnext/agentics daily issue triage (#13434)	S2	#990		.github/aw/imports/github/gh-aw/359795d49ada21681ab616bd4cbcb144a7387115/.github_workflows_shared_noop-reminder.md;.github/aw/imports/github/gh-aw/359795d49ada21681ab616bd4cbcb144a7387115/.github_workflows_shared_reporting.md;.github/workflows/daily-issue-triage.lock.yml;.github/workflows/daily-issue-triage.md;.github/workflows/daily-repo-status.lock.yml;.github/workflows/daily-repo-status.md;.github/workflows/issue-triage-agent.lock.yml;.github/workflows/issue-triage-agent.md				6ccade40fda74117f1653031493c874c0f904d9a	FAIL					Source Review Required	Excluded		https://github.com/ablecloud-team/ablestack-cloud/pull/1002	S2 current-source review at d415cef44ef5b0008bd81288cd0ef1d280e8a028; PR #1002; s2-review.tsv and S2 verification report. Scope-only exclusion reviewed against changed paths; no runtime behavior imported.	014895d8f3dc2f062f379b51ee62d36a0adae88a	https://github.com/apache/cloudstack/commit/957bfbb1cddd1ffac718a2d3f135ded4a85b73d1	기능 소유 이슈에서 patch/API/DB/테스트를 읽고 최종 판정. | S2 review: Apache GitHub Next daily triage/reporting automation replacement; no Europa product integration requirement.
82	dde6eec7ed4cf2c87ec1c5ac3b81050da7174dd7	957bfbb1cddd1ffac718a2d3f135ded4a85b73d1	2026-06-18T11:46:58+02:00	2026-06-18T11:46:58+02:00	commit	Update .asf.yaml (#13438)	S2	#990		.asf.yaml				e5e0b21d7bedb54bb2cd4285584a728c42a45f4a	FAIL					Source Review Required	Excluded		https://github.com/ablecloud-team/ablestack-cloud/pull/1002	S2 current-source review at d415cef44ef5b0008bd81288cd0ef1d280e8a028; PR #1002; s2-review.tsv and S2 verification report. Scope-only exclusion reviewed against changed paths; no runtime behavior imported.	014895d8f3dc2f062f379b51ee62d36a0adae88a	https://github.com/apache/cloudstack/commit/dde6eec7ed4cf2c87ec1c5ac3b81050da7174dd7	기능 소유 이슈에서 patch/API/DB/테스트를 읽고 최종 판정. | S2 review: ASF collaborator/branch ruleset administration only; the file is not deployed or used by Europa build/RC artifacts. Europa repository permissions and branch policy are managed separately.
83	5ad7daf6100bed5fd8d90c4e186447d549a3cd68	dde6eec7ed4cf2c87ec1c5ac3b81050da7174dd7	2026-06-18T05:48:56-04:00	2026-06-18T11:48:56+02:00	commit	Add code coverage grading workflow (#13140)	S2	#990		.github/workflows/main-sonar-check.yml;.github/workflows/sonar-check.yml;scripts/coverage-grade.sh				671fb5cf1c11b7b0015acd8d28756f927c3c2677	FAIL					Source Review Required	Excluded		https://github.com/ablecloud-team/ablestack-cloud/pull/1002	S2 current-source review at d415cef44ef5b0008bd81288cd0ef1d280e8a028; PR #1002; s2-review.tsv and S2 verification report. Scope-only exclusion reviewed against changed paths; no runtime behavior imported.	014895d8f3dc2f062f379b51ee62d36a0adae88a	https://github.com/apache/cloudstack/commit/5ad7daf6100bed5fd8d90c4e186447d549a3cd68	기능 소유 이슈에서 patch/API/DB/테스트를 읽고 최종 판정. | S2 review: Sonar coverage grading for apache/cloudstack-only jobs and its helper; existing Europa jobs are gated off by repository condition.
84	4ea2645b3e079916c163e69b2b6a42bc25115951	5ad7daf6100bed5fd8d90c4e186447d549a3cd68	2026-06-19T03:09:12-05:00	2026-06-19T10:09:12+02:00	commit	[INFRA] Set up default rulesets for default and release branches (#13169)	S2	#990		.asf.yaml				51873e66bbee618727acfbdc724801a40881f9a3	FAIL					Source Review Required	Excluded		https://github.com/ablecloud-team/ablestack-cloud/pull/1002	S2 current-source review at d415cef44ef5b0008bd81288cd0ef1d280e8a028; PR #1002; s2-review.tsv and S2 verification report. Scope-only exclusion reviewed against changed paths; no runtime behavior imported.	014895d8f3dc2f062f379b51ee62d36a0adae88a	https://github.com/apache/cloudstack/commit/4ea2645b3e079916c163e69b2b6a42bc25115951	기능 소유 이슈에서 patch/API/DB/테스트를 읽고 최종 판정. | S2 review: ASF collaborator/branch ruleset administration only; the file is not deployed or used by Europa build/RC artifacts. Europa repository permissions and branch policy are managed separately.
